period_key,periodicidad,metric,unidad,ambito,descriptor,escenario,valor,revision,year_span,sheet_name,source_file
1994-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,91011.12938700728,REV_DESCONOCIDA,2022-2036,PIB Trimestral,Anexo_Proyeccion_Demanda_EE_GN_CL_2022-2036_VF_jun.xlsx
1994-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,95733.14123522649,REV_DESCONOCIDA,2022-2036,PIB Trimestral,Anexo_Proyeccion_Demanda_EE_GN_CL_2022-2036_VF_jun.xlsx
1994-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,99184.43929155332,REV_DESCONOCIDA,2022-2036,PIB Trimestral,Anexo_Proyeccion_Demanda_EE_GN_CL_2022-2036_VF_jun.xlsx
1994-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,107515.92227491437,REV_DESCONOCIDA,2022-2036,PIB Trimestral,Anexo_Proyeccion_Demanda_EE_GN_CL_2022-2036_VF_jun.xlsx
1995-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,96182.24966481101,REV_DESCONOCIDA,2022-2036,PIB Trimestral,Anexo_Proyeccion_Demanda_EE_GN_CL_2022-2036_VF_jun.xlsx
1995-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,100600.9629920599,REV_DESCONOCIDA,2022-2036,PIB Trimestral,Anexo_Proyeccion_Demanda_EE_GN_CL_2022-2036_VF_jun.xlsx
1995-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,102549.84315178257,REV_DESCONOCIDA,2022-2036,PIB Trimestral,Anexo_Proyeccion_Demanda_EE_GN_CL_2022-2036_VF_jun.xlsx
1995-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,112554.90736140349,REV_DESCONOCIDA,2022-2036,PIB Trimestral,Anexo_Proyeccion_Demanda_EE_GN_CL_2022-2036_VF_jun.xlsx
1996-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,100989.24480860417,REV_DESCONOCIDA,2022-2036,PIB Trimestral,Anexo_Proyeccion_Demanda_EE_GN_CL_2022-2036_VF_jun.xlsx
1996-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,104910.93092194128,REV_DESCONOCIDA,2022-2036,PIB Trimestral,Anexo_Proyeccion_Demanda_EE_GN_CL_2022-2036_VF_jun.xlsx
1996-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,106838.76651097681,REV_DESCONOCIDA,2022-2036,PIB Trimestral,Anexo_Proyeccion_Demanda_EE_GN_CL_2022-2036_VF_jun.xlsx
1996-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,115655.93821833622,REV_DESCONOCIDA,2022-2036,PIB Trimestral,Anexo_Proyeccion_Demanda_EE_GN_CL_2022-2036_VF_jun.xlsx
1997-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,101811.3276457597,REV_DESCONOCIDA,2022-2036,PIB Trimestral,Anexo_Proyeccion_Demanda_EE_GN_CL_2022-2036_VF_jun.xlsx
1997-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,108912.70345991993,REV_DESCONOCIDA,2022-2036,PIB Trimestral,Anexo_Proyeccion_Demanda_EE_GN_CL_2022-2036_VF_jun.xlsx
1997-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,111341.48987672695,REV_DESCONOCIDA,2022-2036,PIB Trimestral,Anexo_Proyeccion_Demanda_EE_GN_CL_2022-2036_VF_jun.xlsx
1997-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,121339.96583120979,REV_DESCONOCIDA,2022-2036,PIB Trimestral,Anexo_Proyeccion_Demanda_EE_GN_CL_2022-2036_VF_jun.xlsx
1998-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,107487.36853676772,REV_DESCONOCIDA,2022-2036,PIB Trimestral,Anexo_Proyeccion_Demanda_EE_GN_CL_2022-2036_VF_jun.xlsx
1998-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,111282.49289606533,REV_DESCONOCIDA,2022-2036,PIB Trimestral,Anexo_Proyeccion_Demanda_EE_GN_CL_2022-2036_VF_jun.xlsx
1998-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,110313.3553826911,REV_DESCONOCIDA,2022-2036,PIB Trimestral,Anexo_Proyeccion_Demanda_EE_GN_CL_2022-2036_VF_jun.xlsx
1998-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,115973.60903740185,REV_DESCONOCIDA,2022-2036,PIB Trimestral,Anexo_Proyeccion_Demanda_EE_GN_CL_2022-2036_VF_jun.xlsx
1999-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,100722.82235739153,REV_DESCONOCIDA,2022-2036,PIB Trimestral,Anexo_Proyeccion_Demanda_EE_GN_CL_2022-2036_VF_jun.xlsx
1999-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,103281.75065418141,REV_DESCONOCIDA,2022-2036,PIB Trimestral,Anexo_Proyeccion_Demanda_EE_GN_CL_2022-2036_VF_jun.xlsx
1999-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,106336.97077491079,REV_DESCONOCIDA,2022-2036,PIB Trimestral,Anexo_Proyeccion_Demanda_EE_GN_CL_2022-2036_VF_jun.xlsx
1999-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,114680.41432225447,REV_DESCONOCIDA,2022-2036,PIB Trimestral,Anexo_Proyeccion_Demanda_EE_GN_CL_2022-2036_VF_jun.xlsx
2000-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,101247.06499349189,REV_DESCONOCIDA,2022-2036,PIB Trimestral,Anexo_Proyeccion_Demanda_EE_GN_CL_2022-2036_VF_jun.xlsx
2000-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,104427.03481476294,REV_DESCONOCIDA,2022-2036,PIB Trimestral,Anexo_Proyeccion_Demanda_EE_GN_CL_2022-2036_VF_jun.xlsx
2000-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,107307.56735883477,REV_DESCONOCIDA,2022-2036,PIB Trimestral,Anexo_Proyeccion_Demanda_EE_GN_CL_2022-2036_VF_jun.xlsx
