period_key,periodicidad,metric,unidad,ambito,descriptor,escenario,valor,revision,year_span,sheet_name,source_file
2023-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,10572.311124732829,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2023-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,10998.933339990897,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2023-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,10836.29716718604,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2023-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,10795.954720182237,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2023-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,10904.575622345088,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2023-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,10866.280486466843,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2023-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,10915.912172092378,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2023-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,10893.96034652638,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2023-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,10872.074453548523,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2024-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,10835.498091301004,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2024-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,10767.14532516393,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2024-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,10799.449096738192,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2024-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,10831.76293721108,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2024-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,10952.76317872479,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2024-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,10932.419006468457,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2024-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11019.477648325015,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2024-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11105.259339997405,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2024-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11086.242919317925,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2024-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11151.445466644152,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2024-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11127.921351988656,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2024-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11153.79278626457,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11112.205969116161,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,10972.28492396461,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11055.35969916362,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11050.661506547513,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11153.366281748415,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11127.110117145645,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11221.623381288828,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11288.543970170018,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11282.762584049782,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11356.136867960238,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11328.051871783948,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11373.796602092312,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11330.659736532363,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11173.84839198316,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11264.952446408392,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11243.972870774642,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11318.917704010713,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11302.290762498118,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11391.448889426156,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11456.940439294807,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11456.251153208805,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11527.616185325905,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11502.502067233816,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11552.680876084778,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2027-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11531.278963965611,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2027-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11387.98499748227,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2027-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11477.035777529714,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2027-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11452.301303586992,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2027-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11500.83159102523,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2027-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11489.647758275421,REV_DESCONOCIDA,2023-2037,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
