period_key,periodicidad,metric,unidad,ambito,descriptor,escenario,valor,revision,year_span,sheet_name,source_file
2024-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,2827.059769661472,REV_JULIO,2024-2038,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2025-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,2887.583703768822,REV_JULIO,2024-2038,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2026-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,2963.8902760428255,REV_JULIO,2024-2038,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2027-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,3060.3124308454376,REV_JULIO,2024-2038,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2028-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,3160.9305555267915,REV_JULIO,2024-2038,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2029-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,3268.011635104599,REV_JULIO,2024-2038,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2030-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,3384.272190653494,REV_JULIO,2024-2038,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2031-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,3508.3854721914613,REV_JULIO,2024-2038,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2032-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,3634.907312353858,REV_JULIO,2024-2038,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2033-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,3765.8659239320277,REV_JULIO,2024-2038,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2034-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,3901.404940803242,REV_JULIO,2024-2038,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2035-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,4040.603252379546,REV_JULIO,2024-2038,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2036-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,4183.0914830233105,REV_JULIO,2024-2038,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2037-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,4328.892495365596,REV_JULIO,2024-2038,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2038-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,4477.512848477067,REV_JULIO,2024-2038,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2024-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,2951.3772889236984,REV_JULIO,2024-2038,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2025-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,3125.7402737433576,REV_JULIO,2024-2038,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2026-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,3272.0505070649674,REV_JULIO,2024-2038,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2027-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,3433.6196194916224,REV_JULIO,2024-2038,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2028-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,3596.9449037746754,REV_JULIO,2024-2038,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2029-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,3766.325161012382,REV_JULIO,2024-2038,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2030-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,3945.9895974180185,REV_JULIO,2024-2038,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2031-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,4135.0959525565895,REV_JULIO,2024-2038,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2032-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,4327.793526472742,REV_JULIO,2024-2038,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2033-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,4526.749909609536,REV_JULIO,2024-2038,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2034-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,4732.370883662793,REV_JULIO,2024-2038,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2035-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,4943.803380904014,REV_JULIO,2024-2038,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
