period_key,periodicidad,metric,unidad,ambito,descriptor,escenario,valor,revision,year_span,sheet_name,source_file
2023-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,2860.6290493080405,REV_DESCONOCIDA,2023-2037,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2024-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,2788.208995750199,REV_DESCONOCIDA,2023-2037,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2025-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,2886.5907919393326,REV_DESCONOCIDA,2023-2037,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2026-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,2979.9048867067327,REV_DESCONOCIDA,2023-2037,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2027-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,3078.4916190652284,REV_DESCONOCIDA,2023-2037,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2028-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,3177.1119245273376,REV_DESCONOCIDA,2023-2037,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2029-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,3279.51353221216,REV_DESCONOCIDA,2023-2037,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2030-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,3388.2981100399993,REV_DESCONOCIDA,2023-2037,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2031-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,3503.258285080519,REV_DESCONOCIDA,2023-2037,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2032-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,3621.660762160526,REV_DESCONOCIDA,2023-2037,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2033-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,3743.0736090676546,REV_DESCONOCIDA,2023-2037,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2034-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,3869.550870100228,REV_DESCONOCIDA,2023-2037,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2035-01-01,anual,capacidad,MW-año,gd,GD_TOTAL,ESC_MEDIO,3999.2857355378555,REV_DESCONOCIDA,2023-2037,AnualSIN_Regionales_PMAX,Anexo_proyeccion_demanda_EE_2023_2037.xlsx
