period_key,periodicidad,metric,unidad,ambito,descriptor,escenario,valor,revision,year_span,sheet_name,source_file
2024-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11176.1790931754,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2024-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,10765.800011946825,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2024-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,10776.07772694518,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2024-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,10747.727348580895,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2024-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11123.59714769846,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2024-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11128.50373586379,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2024-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11070.331820444233,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2024-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11100.750526337575,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2024-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11072.141459942539,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11191.361875768092,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11062.47223838296,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11256.363112549921,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11186.514253927751,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11237.344902799558,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11164.910253751765,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11241.112229471562,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11311.00773843501,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11311.268045590765,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11378.411521820944,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11358.800675017364,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11418.911617475376,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11370.837727627144,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11218.936435338752,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11348.24005088361,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11311.337255104963,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11367.947993811755,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11328.849679284196,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11413.278333463913,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11477.17327116676,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11475.818149909926,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11576.472642061313,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11564.095837185165,REV_JULIO,2024-2038,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
