period_key,periodicidad,metric,unidad,ambito,descriptor,escenario,valor,revision,year_span,sheet_name,source_file
7410-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,2020.0,REV_DESCONOCIDA,2020,DEE_SIN_GCE,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
7786-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,2021.0,REV_DESCONOCIDA,2020,DEE_SIN_GCE,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
8040-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,2022.0,REV_DESCONOCIDA,2020,DEE_SIN_GCE,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
8283-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,2023.0,REV_DESCONOCIDA,2020,DEE_SIN_GCE,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
8491-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,2024.0,REV_DESCONOCIDA,2020,DEE_SIN_GCE,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
8717-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,2025.0,REV_DESCONOCIDA,2020,DEE_SIN_GCE,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
8899-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,2026.0,REV_DESCONOCIDA,2020,DEE_SIN_GCE,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
7410-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,73626.66580643832,REV_DESCONOCIDA,2020,DEE_SIN_GCE,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
7786-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,76828.84204289994,REV_DESCONOCIDA,2020,DEE_SIN_GCE,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
8040-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,79103.54143654254,REV_DESCONOCIDA,2020,DEE_SIN_GCE,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
8283-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,81312.46808655554,REV_DESCONOCIDA,2020,DEE_SIN_GCE,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
8491-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,83162.22910089648,REV_DESCONOCIDA,2020,DEE_SIN_GCE,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
8717-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,85179.46710146428,REV_DESCONOCIDA,2020,DEE_SIN_GCE,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
