period_key,periodicidad,metric,unidad,ambito,descriptor,escenario,valor,revision,year_span,sheet_name,source_file
2024-04-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6506.671334921477,REV_JULIO,2024-2038,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2024-05-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6671.862295135442,REV_JULIO,2024-2038,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2024-06-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6486.077174239995,REV_JULIO,2024-2038,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2024-07-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6693.236925535598,REV_JULIO,2024-2038,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2024-08-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6749.010672099154,REV_JULIO,2024-2038,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2024-09-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6596.8655064172945,REV_JULIO,2024-2038,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2024-10-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6763.558140974715,REV_JULIO,2024-2038,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2024-11-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6612.6767599647565,REV_JULIO,2024-2038,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2024-12-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6749.336249790428,REV_JULIO,2024-2038,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2025-01-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6587.772172784391,REV_JULIO,2024-2038,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2025-02-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6300.875804655167,REV_JULIO,2024-2038,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2025-03-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6735.537544158273,REV_JULIO,2024-2038,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2025-04-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6516.896432600652,REV_JULIO,2024-2038,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2025-05-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6747.95085249174,REV_JULIO,2024-2038,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2025-06-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6533.952134376918,REV_JULIO,2024-2038,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2025-07-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6853.8832996935025,REV_JULIO,2024-2038,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2025-08-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6857.631169080706,REV_JULIO,2024-2038,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2025-09-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6758.375416791512,REV_JULIO,2024-2038,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2025-10-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,7012.605679900287,REV_JULIO,2024-2038,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2025-11-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6833.582311351716,REV_JULIO,2024-2038,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2025-12-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,7001.630121982817,REV_JULIO,2024-2038,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2026-01-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6765.302692066918,REV_JULIO,2024-2038,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2026-02-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6486.697066189084,REV_JULIO,2024-2038,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2026-03-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6931.445344979601,REV_JULIO,2024-2038,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2026-04-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6695.982083028444,REV_JULIO,2024-2038,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
2026-05-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6878.722162600788,REV_JULIO,2024-2038,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_2024_2038_v2_Jul2024.xlsx
