period_key,periodicidad,metric,unidad,ambito,descriptor,escenario,valor,revision,year_span,sheet_name,source_file
2023-04-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6155.837816550662,REV_DESCONOCIDA,2023-2037,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2023-05-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6636.002425855387,REV_DESCONOCIDA,2023-2037,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2023-06-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6366.823568935997,REV_DESCONOCIDA,2023-2037,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2023-07-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6444.549671231606,REV_DESCONOCIDA,2023-2037,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2023-08-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6577.851210379293,REV_DESCONOCIDA,2023-2037,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2023-09-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6431.739977663778,REV_DESCONOCIDA,2023-2037,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2023-10-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6619.488918958616,REV_DESCONOCIDA,2023-2037,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2023-11-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6505.692107133125,REV_DESCONOCIDA,2023-2037,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2023-12-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6604.790546867929,REV_DESCONOCIDA,2023-2037,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2024-01-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6380.013180791695,REV_DESCONOCIDA,2023-2037,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2024-02-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6221.818324825034,REV_DESCONOCIDA,2023-2037,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2024-03-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6469.707526850401,REV_DESCONOCIDA,2023-2037,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
2024-04-01,mensual,potencia,MW-mes,nacional,SIN,ESC_MEDIO,6413.8823668965315,REV_DESCONOCIDA,2023-2037,DEE_Mensual(GWh_mes),Anexo_proyeccion_demanda_EE_2023_2037.xlsx
