period_key,periodicidad,metric,unidad,ambito,descriptor,escenario,valor,revision,year_span,sheet_name,source_file
7407-01-01,anual,potencia,MW-año,nacional,SIN,ESC_MEDIO,2020.0,REV_DESCONOCIDA,2020,DEE_SIN_GCE_GD,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
7781-01-01,anual,potencia,MW-año,nacional,SIN,ESC_MEDIO,2021.0,REV_DESCONOCIDA,2020,DEE_SIN_GCE_GD,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
8032-01-01,anual,potencia,MW-año,nacional,SIN,ESC_MEDIO,2022.0,REV_DESCONOCIDA,2020,DEE_SIN_GCE_GD,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
8270-01-01,anual,potencia,MW-año,nacional,SIN,ESC_MEDIO,2023.0,REV_DESCONOCIDA,2020,DEE_SIN_GCE_GD,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
8472-01-01,anual,potencia,MW-año,nacional,SIN,ESC_MEDIO,2024.0,REV_DESCONOCIDA,2020,DEE_SIN_GCE_GD,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
8692-01-01,anual,potencia,MW-año,nacional,SIN,ESC_MEDIO,2025.0,REV_DESCONOCIDA,2020,DEE_SIN_GCE_GD,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
8866-01-01,anual,potencia,MW-año,nacional,SIN,ESC_MEDIO,2026.0,REV_DESCONOCIDA,2020,DEE_SIN_GCE_GD,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
7407-01-01,anual,potencia,GWh-año,nacional,SIN,ESC_MEDIO,73600.0632445278,REV_DESCONOCIDA,2020,DEE_SIN_GCE_GD,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
7781-01-01,anual,potencia,GWh-año,nacional,SIN,ESC_MEDIO,76779.16587072758,REV_DESCONOCIDA,2020,DEE_SIN_GCE_GD,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
8032-01-01,anual,potencia,GWh-año,nacional,SIN,ESC_MEDIO,79018.9755420985,REV_DESCONOCIDA,2020,DEE_SIN_GCE_GD,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
8270-01-01,anual,potencia,GWh-año,nacional,SIN,ESC_MEDIO,81181.53123626324,REV_DESCONOCIDA,2020,DEE_SIN_GCE_GD,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
8472-01-01,anual,potencia,GWh-año,nacional,SIN,ESC_MEDIO,82973.54708910735,REV_DESCONOCIDA,2020,DEE_SIN_GCE_GD,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
8692-01-01,anual,potencia,GWh-año,nacional,SIN,ESC_MEDIO,84922.83569687954,REV_DESCONOCIDA,2020,DEE_SIN_GCE_GD,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
8866-01-01,anual,potencia,GWh-año,nacional,SIN,ESC_MEDIO,86418.30402346452,REV_DESCONOCIDA,2020,DEE_SIN_GCE_GD,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
7407-01-01,anual,potencia,GWh-año,nacional,SIN,ESC_MEDIO,71575.27860894329,REV_DESCONOCIDA,2020,DEE_SIN_GCE_GD,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
7781-01-01,anual,potencia,GWh-año,nacional,SIN,ESC_MEDIO,73657.67843584476,REV_DESCONOCIDA,2020,DEE_SIN_GCE_GD,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
8032-01-01,anual,potencia,GWh-año,nacional,SIN,ESC_MEDIO,75400.81368837261,REV_DESCONOCIDA,2020,DEE_SIN_GCE_GD,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
8270-01-01,anual,potencia,GWh-año,nacional,SIN,ESC_MEDIO,77246.26660630593,REV_DESCONOCIDA,2020,DEE_SIN_GCE_GD,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
8472-01-01,anual,potencia,GWh-año,nacional,SIN,ESC_MEDIO,78730.22057589931,REV_DESCONOCIDA,2020,DEE_SIN_GCE_GD,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
8692-01-01,anual,potencia,GWh-año,nacional,SIN,ESC_MEDIO,80415.44119622985,REV_DESCONOCIDA,2020,DEE_SIN_GCE_GD,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
8866-01-01,anual,potencia,GWh-año,nacional,SIN,ESC_MEDIO,81665.86493458512,REV_DESCONOCIDA,2020,DEE_SIN_GCE_GD,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
7407-01-01,anual,potencia,GWh-año,nacional,SIN,ESC_MEDIO,72289.56842765046,REV_DESCONOCIDA,2020,DEE_SIN_GCE_GD,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
7781-01-01,anual,potencia,GWh-año,nacional,SIN,ESC_MEDIO,74685.54625371631,REV_DESCONOCIDA,2020,DEE_SIN_GCE_GD,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
8032-01-01,anual,potencia,GWh-año,nacional,SIN,ESC_MEDIO,76646.90945484654,REV_DESCONOCIDA,2020,DEE_SIN_GCE_GD,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
8270-01-01,anual,potencia,GWh-año,nacional,SIN,ESC_MEDIO,78639.30961114117,REV_DESCONOCIDA,2020,DEE_SIN_GCE_GD,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
8472-01-01,anual,potencia,GWh-año,nacional,SIN,ESC_MEDIO,80253.11663449505,REV_DESCONOCIDA,2020,DEE_SIN_GCE_GD,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
8692-01-01,anual,potencia,GWh-año,nacional,SIN,ESC_MEDIO,82062.53671316833,REV_DESCONOCIDA,2020,DEE_SIN_GCE_GD,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
8866-01-01,anual,potencia,GWh-año,nacional,SIN,ESC_MEDIO,83428.63722134879,REV_DESCONOCIDA,2020,DEE_SIN_GCE_GD,UPME_Tablas_Proyeccion_DE_Junio_2020.xlsx
